Datum;Tagesmittelwert
01.05.2023;12,8
02.05.2023;12,8
03.05.2023;12,9
04.05.2023;13,6
05.05.2023;14,2
06.05.2023;14,7
07.05.2023;14,7
08.05.2023;14,
09.05.2023;13,7
10.05.2023;13,6
11.05.2023;12,9
12.05.2023;12,6
13.05.2023;12,3
14.05.2023;12,4
15.05.2023;12,8
16.05.2023;12,5
17.05.2023;12,
18.05.2023;11,8
19.05.2023;12,
20.05.2023;12,6
21.05.2023;13,8
22.05.2023;14,9
23.05.2023;15,6
24.05.2023;15,2
25.05.2023;14,8
26.05.2023;15,3
27.05.2023;16,
28.05.2023;16,5
29.05.2023;17,
30.05.2023;17,4
31.05.2023;17,6
01.06.2023;18,
02.06.2023;18,4
03.06.2023;18,5
04.06.2023;18,6
05.06.2023;18,7
06.06.2023;18,9
07.06.2023;19,
08.06.2023;19,1
09.06.2023;19,2
10.06.2023;19,6
11.06.2023;20,2
12.06.2023;20,5
13.06.2023;
14.06.2023;19,9
15.06.2023;19,9
16.06.2023;19,9
17.06.2023;20,
18.06.2023;20,1
19.06.2023;20,9
20.06.2023;21,7
21.06.2023;
22.06.2023;21,7
23.06.2023;21,4
24.06.2023;21,1
25.06.2023;21,5
26.06.2023;21,8
27.06.2023;21,6
28.06.2023;21,2
29.06.2023;21,
30.06.2023;20,8
01.07.2023;20,2
02.07.2023;20,1
03.07.2023;19,9
04.07.2023;20,3
05.07.2023;20,4
06.07.2023;20,2
07.07.2023;20,6
08.07.2023;21,3
09.07.2023;22,2
10.07.2023;22,8
11.07.2023;23,3
12.07.2023;22,9
13.07.2023;22,6
14.07.2023;22,3
15.07.2023;22,5
16.07.2023;22,3
17.07.2023;22,1
18.07.2023;21,7
19.07.2023;21,8
20.07.2023;21,7
21.07.2023;
22.07.2023;20,7
23.07.2023;20,5
24.07.2023;20,1
25.07.2023;19,7
26.07.2023;18,7
27.07.2023;17,8
28.07.2023;17,7
29.07.2023;18,2
30.07.2023;18,9
31.07.2023;18,8
01.08.2023;18,8
02.08.2023;18,7
03.08.2023;18,6
04.08.2023;18,7
05.08.2023;18,3
06.08.2023;17,5
07.08.2023;17,
08.08.2023;17,
09.08.2023;17,3
10.08.2023;17,7
11.08.2023;18,7
12.08.2023;19,7
13.08.2023;20,3
14.08.2023;20,7
15.08.2023;21,4
16.08.2023;21,8
17.08.2023;21,9
18.08.2023;21,7
19.08.2023;22,3
20.08.2023;22,9
21.08.2023;23,4
22.08.2023;23,8
23.08.2023;23,8
24.08.2023;23,7
25.08.2023;22,5
26.08.2023;21,5
27.08.2023;19,9
28.08.2023;18,6
29.08.2023;17,4
30.08.2023;16,8
31.08.2023;16,7
01.09.2023;17,1
02.09.2023;17,6
03.09.2023;18,3
04.09.2023;18,5
05.09.2023;18,8
06.09.2023;19,
07.09.2023;19,1
08.09.2023;19,2
09.09.2023;19,7
10.09.2023;20,2
11.09.2023;20,6
12.09.2023;20,6
13.09.2023;20,5
14.09.2023;19,8
15.09.2023;19,5
16.09.2023;19,5
17.09.2023;19,8
18.09.2023;19,6
19.09.2023;19,1
20.09.2023;18,7
21.09.2023;18,7
22.09.2023;18,5
23.09.2023;17,5
24.09.2023;16,7
25.09.2023;16,1
26.09.2023;15,9
27.09.2023;16,
28.09.2023;16,1
29.09.2023;16,5
30.09.2023;16,8
01.10.2023;16,4
02.10.2023;16,4
03.10.2023;16,4
04.10.2023;16,1
05.10.2023;15,4
06.10.2023;14,9
07.10.2023;14,5
08.10.2023;14,4
09.10.2023;14,5
10.10.2023;14,6
11.10.2023;14,7
12.10.2023;14,7
13.10.2023;14,9
14.10.2023;15,1
15.10.2023;14,2
16.10.2023;13,1
17.10.2023;12,
18.10.2023;11,2
19.10.2023;11,5
20.10.2023;12,2
21.10.2023;12,6
22.10.2023;12,5
23.10.2023;11,8
24.10.2023;11,7
25.10.2023;12,
26.10.2023;12,2
27.10.2023;12,2
28.10.2023;12,
29.10.2023;11,8
30.10.2023;12,
31.10.2023;12,2
